"","...1","Time","No3","O2","Q","WT","WL","PH","EL","date"
"49",339315,2017-02-14 08:02:00,10.3498,NA,5.68,3.09,10.5324,8.20625,967.7083,2017-02-14
"50",339316,2017-02-14 08:12:00,10.3521,NA,5.68,3.125,10.53698,8.209583,969.0833,2017-02-14
"51",339317,2017-02-14 08:22:00,10.35203,NA,5.68,3.162917,10.53813,8.213333,968.6667,2017-02-14
"52",339318,2017-02-14 08:32:00,10.3537,NA,5.69,3.204583,10.54135,8.216667,967.375,2017-02-14
"53",339319,2017-02-14 08:42:00,10.35066,NA,5.69,3.25125,10.54562,8.220417,967.5,2017-02-14
"54",339320,2017-02-14 08:52:00,10.34868,NA,5.7,3.300833,10.55146,8.22375,968.9167,2017-02-14
"55",339321,2017-02-14 09:02:00,10.34321,NA,5.7,3.35375,10.55354,8.227083,969.5417,2017-02-14
"56",339322,2017-02-14 09:12:00,10.34277,NA,5.7,3.409583,10.55177,8.23,969.625,2017-02-14
"57",339323,2017-02-14 09:22:00,10.33907,NA,5.7,3.46875,10.5526,8.233333,968.375,2017-02-14
"58",339324,2017-02-14 09:32:00,10.33882,NA,5.7,3.53125,10.5551,8.23625,967.125,2017-02-14
"59",339325,2017-02-14 09:42:00,10.33541,NA,5.7,3.595833,10.55417,8.23875,966.25,2017-02-14
"60",339326,2017-02-14 09:52:00,10.32898,NA,5.7,3.66125,10.55354,8.24125,967.0833,2017-02-14
"61",339327,2017-02-14 10:02:00,10.32706,NA,5.71,3.728333,10.55708,8.242917,965.25,2017-02-14
"62",339328,2017-02-14 10:12:00,10.32295,NA,5.71,3.795417,10.55917,8.245,963.5833,2017-02-14
"63",339329,2017-02-14 10:22:00,10.32147,NA,5.72,3.863333,10.56344,8.246667,963.7917,2017-02-14
"64",339330,2017-02-14 10:32:00,10.31884,NA,5.72,3.93125,10.56531,8.248333,963.6667,2017-02-14
"65",339331,2017-02-14 10:42:00,10.31818,NA,5.72,3.998333,10.56646,8.249583,961.9583,2017-02-14
"66",339332,2017-02-14 10:52:00,10.31449,NA,5.72,4.065833,10.5701,8.250833,959.2917,2017-02-14
"67",339333,2017-02-14 11:02:00,10.31481,NA,5.73,4.1325,10.57854,8.252083,959.125,2017-02-14
"68",339334,2017-02-14 11:12:00,10.30928,NA,5.75,4.198333,10.58896,8.252917,959.125,2017-02-14
"69",339335,2017-02-14 11:22:00,10.30656,NA,5.76,4.263333,10.59583,8.253333,959.1667,2017-02-14
"70",339336,2017-02-14 11:32:00,10.30611,NA,5.76,4.32625,10.60281,8.25375,957.875,2017-02-14
"71",339337,2017-02-14 11:42:00,10.30247,NA,5.78,4.387917,10.61281,8.254167,956.4583,2017-02-14
"72",339338,2017-02-14 11:52:00,10.30099,NA,5.79,4.449583,10.62354,8.254583,955.125,2017-02-14
"73",339339,2017-02-14 12:02:00,10.29633,NA,5.8,4.509583,10.62792,8.255,955.2083,2017-02-14
"74",339340,2017-02-14 12:12:00,10.29557,NA,5.81,4.569167,10.64021,8.255,954.2917,2017-02-14
"75",339341,2017-02-14 12:22:00,10.29315,NA,5.82,4.625833,10.64927,8.255,953.875,2017-02-14
"76",339342,2017-02-14 12:32:00,10.29009,NA,5.83,4.68,10.65708,8.255,954.25,2017-02-14
"77",339343,2017-02-14 12:42:00,10.28929,NA,5.84,4.73125,10.66448,8.255,955.5833,2017-02-14
"78",339344,2017-02-14 12:52:00,10.28711,NA,5.85,4.7775,10.67344,8.254583,956,2017-02-14
"79",339345,2017-02-14 13:02:00,10.2846,NA,5.86,4.81875,10.6776,8.254167,955.2083,2017-02-14
"80",339346,2017-02-14 13:12:00,10.28532,NA,5.87,4.855,10.68719,8.25375,954.2917,2017-02-14
"81",339347,2017-02-14 13:22:00,10.2857,NA,5.88,4.88625,10.69208,8.252917,953.9583,2017-02-14
"82",339348,2017-02-14 13:32:00,10.28343,NA,5.88,4.914167,10.69615,8.251667,954.3333,2017-02-14
"83",339349,2017-02-14 13:42:00,10.28346,NA,5.89,4.9375,10.69792,8.250417,954.5833,2017-02-14
"84",339350,2017-02-14 13:52:00,10.28194,NA,5.89,4.955,10.70042,8.24875,954.3333,2017-02-14
"85",339351,2017-02-14 14:02:00,10.27877,NA,5.89,4.968333,10.70396,8.246667,954.3333,2017-02-14
"86",339352,2017-02-14 14:12:00,10.27445,NA,5.89,4.977917,10.70396,8.244583,954.1667,2017-02-14
"87",339353,2017-02-14 14:22:00,10.27217,NA,5.89,4.984167,10.70365,8.242083,953.3333,2017-02-14
