"","...1","Time","No3","O2","Q","WT","WL","PH","EL","date"
"92",339790,2017-02-17 15:12:00,10.22653,NA,5.79,7.486667,10.62344,8.2075,951.2083,2017-02-17
"93",339791,2017-02-17 15:22:00,10.22648,NA,5.78,7.457917,10.61646,8.2025,951.2917,2017-02-17
"94",339792,2017-02-17 15:32:00,10.22642,NA,5.77,7.43,10.60917,8.197083,951.1667,2017-02-17
"95",339793,2017-02-17 15:42:00,10.22634,NA,5.76,7.402083,10.60115,8.192083,950.8333,2017-02-17
"96",339794,2017-02-17 15:52:00,10.22613,NA,5.75,7.37375,10.58844,8.187917,950.2083,2017-02-17
"97",339795,2017-02-17 16:02:00,10.22625,NA,5.74,7.34375,10.58635,8.182917,949.7083,2017-02-17
"98",339796,2017-02-17 16:12:00,10.22603,NA,5.73,7.311667,10.5751,8.177917,950.4167,2017-02-17
"99",339797,2017-02-17 16:22:00,10.22617,NA,5.72,7.279583,10.56865,8.172917,949.25,2017-02-17
"100",339798,2017-02-17 16:32:00,10.22625,NA,5.71,7.2475,10.56229,8.16875,949.2917,2017-02-17
"101",339799,2017-02-17 16:42:00,10.22648,NA,5.71,7.217083,10.56229,8.164583,948.9583,2017-02-17
"102",339800,2017-02-17 16:52:00,10.22632,NA,5.7,7.188333,10.55292,8.160417,948.7917,2017-02-17
"103",339801,2017-02-17 17:02:00,10.22668,NA,5.7,7.160833,10.55344,8.157083,949.2083,2017-02-17
"104",339802,2017-02-17 17:12:00,10.22653,NA,5.69,7.13375,10.54677,8.153333,948.5417,2017-02-17
"105",339803,2017-02-17 17:22:00,10.22663,NA,5.69,7.1075,10.54177,8.149583,948.6667,2017-02-17
"106",339804,2017-02-17 17:32:00,10.22699,NA,5.69,7.081667,10.54208,8.14625,948.625,2017-02-17
"107",339805,2017-02-17 17:42:00,10.22692,NA,5.68,7.05625,10.53917,8.142083,948.7917,2017-02-17
"108",339806,2017-02-17 17:52:00,10.2272,NA,5.68,7.031667,10.53937,8.139167,948.9167,2017-02-17
"109",339807,2017-02-17 18:02:00,10.22732,NA,5.68,7.009583,10.53594,8.137083,948.5417,2017-02-17
"110",339808,2017-02-17 18:12:00,10.22755,NA,5.68,6.989583,10.53688,8.135417,947.7917,2017-02-17
"111",339809,2017-02-17 18:22:00,10.22721,NA,5.68,6.970417,10.53344,8.134167,948.0417,2017-02-17
"112",339810,2017-02-17 18:32:00,10.22716,NA,5.67,6.953333,10.53083,8.133333,947.7917,2017-02-17
"113",339811,2017-02-17 18:42:00,10.22702,NA,5.67,6.936667,10.52531,8.132917,947.625,2017-02-17
"114",339812,2017-02-17 18:52:00,10.22725,NA,5.67,6.920833,10.52562,8.1325,947.2083,2017-02-17
